time,ax,ay,az,aT
2.5230,-0.1909,0.0666,0.0810,0.218
2.5280,0.0219,-0.0289,0.0091,0.037
2.5330,-0.0069,-0.0263,0.0138,0.030
2.5380,0.0146,0.0072,-0.1572,0.158
2.5470,-0.1444,0.0641,0.0577,0.168
2.5560,0.0369,-0.0717,0.0382,0.089
2.5570,0.0530,-0.0829,0.0783,0.126
2.5580,0.0835,-0.0680,-0.1383,0.175
2.5620,-0.1497,0.1010,0.1523,0.236
2.5680,0.0414,0.0645,0.1416,0.161
2.5720,0.0528,-0.0214,0.0550,0.079
2.5770,0.1188,-0.0997,-0.1709,0.231
2.5820,-0.0222,-0.0135,0.1959,0.198
2.5870,0.0586,0.0459,0.0424,0.086
2.5920,0.0155,0.0953,-0.0077,0.097
2.5970,0.0226,-0.0715,-0.1762,0.191
2.6010,-0.0844,-0.0733,0.1409,0.180
2.6070,0.0230,-0.1249,0.0994,0.161
2.6110,0.0110,0.0208,0.1223,0.125
2.6170,-0.0127,0.0253,-0.2323,0.234
2.6220,-0.1263,0.0370,0.1351,0.189
2.6280,0.0574,-0.0084,0.0817,0.100
2.6320,0.0971,-0.0130,0.1048,0.143
2.6360,0.0657,-0.0248,-0.1713,0.185
2.6410,-0.1293,0.0824,0.0389,0.158
2.6460,-0.1307,-0.0204,0.0243,0.134
2.6510,-0.0419,-0.0629,0.0502,0.091
2.6560,0.0155,-0.1147,-0.1448,0.185
2.6640,-0.0582,0.0429,0.0937,0.118
2.6690,-0.0340,0.1256,0.0194,0.132
2.6720,0.0255,0.0486,0.0287,0.062
2.6750,0.0372,-0.0871,-0.1210,0.154
